GlAccount,LongDescription,ShortDescription
22000133,AP:Warranty - Short Term,AP:Warty -Short Term
22000160,OLTL:Warranty - Long Term,OLTL:Warranty - LT
23000515,AP:Tax Payable-OCT,AP:Tax Payable-OCT
24000100,AP:Accrued Legal Fees,AP:Accr Legal Fees
24000101,AP:Accrued Legal&Expert Witnss,AP:Accr Le&Exrt Witn
24000102,AP: Accrued Settlement Payment,AP: Accr Sett Pay
24000103,AP: Accrued Goodwill Payment,AP: Accr GW Payment
24005099,Preferred Share Liability,Preferred Share Liab
24013300,AP: Lease Liability-LT,AP: Lease Liabil-LT
24013310,AP: Lease Liability-ST,AP: Lease Liabil-ST
24013320,AP: Lease Liabilit (Build)- ST,AP: Lese Liab(Bd)-ST
24013330,AP: Lease liability (Build)-LT,AP: Lese liab(Bd)-LT
24035102,AP:Accr Fees-Cr Facility $325M,AP:Accr Fee-CF 325M
24035105,AP:Accr Int on I/C loan NEC,AP:Accr Int I/C NEC
24066000,GLSU Balancing Account,GLSU Balancing Acc
24067000,Blackline Balancing Account,BL Balancing Acc
24068000,Interf Balancing Acc,Interfaces Balancing Account
25000005,UER: Unearn Revenue-Acquireds,UER: Unearn Rev-Acq
25000010,UER: Customer Default Deposits,UER: Cur Default De
25000020,UER:WIP accounts,UER:WIP accounts
25000023,UER: WIP Furnace Rental,UER: WIP Furnace Ren
25000025,UER:WIP account - OHE W/H,UER:WIP ac - OHE W/H
25000027,UER:WIP Account- CPP,UER:WIP Account- CPP
25000028,UER:Commercial CPP-Banner Bill,UER:Coml CPP-Banr Bl
25000032,UER:Water Softeners,UER:Water Softeners
25000033,UER:Smart Homes,UER:Smart Homes
25000040,UER: Customer Deposits,UER: Customer Dep
25000047,UER:Police Permit - Clearing,UER:Police Per -Clg
25000048,UER:Carbon Offse,UER:Carbon Offse
25000049,UER:Sec.OneTimeBilling-Clearng,UER:Sec.OneTeBlg-Clg
25000075,UER:CPP cost to service-acqs,UER:CPP ct to s-acqs
25010150,FBL: Non Pension Liability,FBL: Non Pension Lia
25010200,PA:UGL-Bargaining Unit (CEP) P,PA:UGL-Barg Ut(CEP)P
25010210,PA:Pension Choices,PA:Pension Choices
25010220,PA:Mgmt & Sprvsry Pension Plan,PA:Mgmt &Sprvy Pn Pl
25010230,PA:CGO-Group One (USWA) Pensio,PA:CGO-Grp One Pen
25010240,PA:Central Gas Salaried,PA:Central Gas Sald
25010250,PA:CGO-Group Three (CEP) Pensi,PA:CGO-Grp 3 (CEP)Pn
25010280,PA:Supplemental Plan,PA:Supplemental Plan
25020170,IRC: FX Forward Contract ST,IRC:Derivative Liab
25020180,IRC: FX Forward Contract LT,IRC: FX Forward Cont
26000020,TAX:Future Income Tax,TAX:Future Income Tx
27000000,"AP - Intercompany Control                         ","AP-Interco Control  "
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000001,Intercompany Payable (Manual),IC Payable (Manual)
27000002,I/C Note Payable (Manual),IC Note Payable M
27000003,Intercompany Interest Payable Reliable  (Manual),IC Int Pay Relibl M
27000004,IC Payable Reliable (Manual),IC Payble Reliable M
27000035,"Interacompany Manual                          ",Interacompany Manual
27009000,"AP - Intercompany FX Adjustment                   ","AR ICO FX Adj       "
39000100,RE:Retained Earnings-Opening B,RE:Retained Earg-OB
39000100,RE:Retained Earnings-Opening B,RE:Retained Earg-OB
39000100,RE:Retained Earnings-Opening B,RE:Retained Earg-OB
39000100,RE:Retained Earnings-Opening B,RE:Retained Earg-OB
39000102,RE: Facility Leased Asset Tran,RE: Fac Lesd At Tr
39000106,RE:Capital Distributions- Curr,RE:Capital Dist- Cur
39000110,RE:Current Year Earnings,RE:Current Year Earg
39000122,"RE:CTA-Cumulative Translation Adjustment ","Cum Translation Adj "
39000125,RE:OCI-Fwd Cntrct Hedge Valtn,RE:OCI-Fwd Ct Hedge
39000130,RE:OCI-Pension,RE:OCI-Pension
39000200,RE: Share Premium,RE: Share Premium
39000500,RE:Common Units,RE:Common Units
39000510,RE:Preference Units,RE:Preference Units
39000598,RE: Share Cap-Acquisition,RE: Share Cap-Acq
39001000,RE:Capital Stock,RE:Capital Stock
40000100,REV:Discounts,REV:Discounts
40000200,REV: Goodwill Credits,REV: Goodwill Credit
40000398,REV: Rent Free Revenue-Canco,REV: Rt Free Rev-Can
40000400,REV: Gross Recurring Revenue,Gross Recurring Rev
40000401,REV: Recurring Free Revenue,REV: Recur Free Rev
40000406,REV: Gift Card Promotions,REV: Gift Card Prom
40000411,REV: Recurring Credit Adjustments,REV: Rec Credit Adj
40010100,REV: Gross OneTime Revenue,REV: Grs OneTime Rev
40010200,REV: Administration Fees,REV: Admin Fees
40010210,RENT:Change Fees,RENT:Change Fees
40010225,REV: Finance Contract Interest,REV: Finance Cnt Int
40010230,REV: Finance Payout Fees,REV: Fin Payout Fees
40010232,REV:Finance SAC Accrual,REV:Finance SAC Accr
40010235,REV: Finance Dealer Charges,REV: Finance Dealr C
40010238,REV: Finance Non-SAC Accrual,REV: Fin Non-SAC Acc
40010240,REV: Late Payment Charges,REV: Late Payment Ch
40010250,REV: NSF Cheque Charges,REV: NSF Cheque Cha
40010260,REV: General Charges,REV: General Charges
40010450,REV: Sales of Goods,REV: Sales of Goods
40011270,REV:Legal Letters,REV:Legal Letters
40020202,REV:PRO Accrete Defer Instal,REV:PRO Accrete De
40020203,REV: Admin Fees-Rental Furnace,REV: Admin Fs-Rtl Fr
40020204,REV:CPP cost to service,REV:CPP cost to ser
40020234,REV: Fin Dealer Chg -Security,REV: Fin De Chg -Sec
40020236,REV: UEI Manufacturer Subsidy,REV: UEI Manuf Sub
40020237,REV:Fin Enbrdg Cus Late Py fee,REV:Fin Enbrdg Cus
40020255,REV: NSF Charges - OHE  W/H,REV: NSF Charges
40020261,REV:Sales Serv &Other-Security,REV:Sales Serv &Ot
40020280,REV:Other Chgs-Furnace Rental,REV:Ot Chgs-Furn Ren
40020281,REV:Carbon Offset Revenue,REV:Carb Ofst Reven
40020300,REV: OLSE:Operating Lease Rev,REV: OLSE:Op Lee Rev
40020402,REV: Water Softener Program,REV: Water Soft Prog
40020403,REV:WH Cycle Bill Adjustment,REV:WH Cycle Bil Adj
40020404,REV: Rental Monitoring Revenue,REV: Rental Mnit Rev
40020405,REV: Supervised lines-Sales,REV: Supe lines-Sal
40020407,REV: Leasing,REV: Leasing
40020408,REV: Commercial RHVAC Revenue,REV: Comm RHVAC Rev
40020410,RENT: Rental DWHR,RENT: Rental DWHR
40020415,REV: Patrol Contracts,REV: Patrol Cont
40020420,REV: 9-1-1 & Fire,REV: 9-1-1 & Fire
40020422,REV: Other RMR,REV: Other RMR
40020440,REV: Patrol Calls,REV: Patrol Calls
40020460,REV: Other One Time Billings,REV: Other One T Bi
40020482,REV:Gain on OT Inst DF Rem-Sec,REV:Gain on OT Inst
40020600,R&A Returns,R&A Returns
40020900,REV:Intra-entity,REV:Intra-entity
40020910,REV:Inter-entity,REV:Inter-entity
40020920,Clearing account revenue from asset sale,Clg ac rev Asst sale
40020950,Revenue from Write-Up on Ord. Depreciation Account,Write-Up Revenue
50000175,COGS: RCG COGS (book value),COGS: RCG COGS
50007175,OTH: Warranty Proceeds,OTH: Warranty Procds
51000010,LAB: Labour,LAB: Labour
51000015,LAB: Task Rate,LAB: Task Rate
51000020,LAB: Direct Overtime,LAB: Direct Overtime
51000025,LAB: Task Rate Overtime,LAB: Task Rate Ov
51000030,LAB:Installation Allowance,LAB:Installation All
51000040,LAB:Delivery Expense,LAB:Delivery Expense
51000100,BEN: Benefits,BEN: Benefits
51000103,BEN:D.C. Pension - Dir Lab,BEN:D.C. Pen-Dir Lab
51000104,BEN:D.B. Pension - Dir Lab,BEN:D.B. Pen-Dir Lab
51000105,BEN:Cda Pension Plan - Dir Lab,BEN:Cda Pen Pla -Dir
51000107,BEN:Employment Ins- Dir Lab,BEN:Emp Ins- Dir Lab
51000109,BEN:Health Insurance - Dir Lab,BEN:Hea Ins -Dir Lab
51000111,BEN:WSIB- Dir Lab,BEN:WSIB- Dir Lab
51000113,BEN:Emp. Savings Plan - Dir Lb,BEN:Emp. Sag Plan
51000114,BEN: EAP Dir Lab,BEN: EAP Dir Lab
51000115,BEN:Flexible Benefits - Dir Lb,BEN:Flexible Bene
51000116,BEN:Future NonPension Expense,BEN:Future NonPensio
51000300,NPL: Direct Labour Training,NPL: Direct Labour T
51000305,NPL:Direct Labour-Acq HVACs,NPL:Direct Labour-Ac
51000310,NPL:Direct Labour- Meetings,NPL:Direct Labour- M
51000320,NPL:Direct Labour-Safety Meets,NPL:Direct Labor-S M
51000330,NPL:Direct Labour Vacation,NPL:Direct Labor Vac
51000340,NPL:Direct Labour PPD,NPL:Direct Labour PP
51000350,NPL:Direct Labour Stat Holiday,NPL:Direct Labur S H
51000360,NPL:Direct Labour Banked OT,NPL:Direct Lab Bnk O
51000370,NPL:Direct Labour Sick/Accidnt,NPL:Direct Labour
51000380,NPL:Direct Labour Misc,NPL:Direct Labour Mi
51000390,NPL:Dir Lab Leave of Absence,NPL:Dir Lb Lea of Ab
51000400,NPL:Dir Lab Training Installer,NPL:Dir Lab Traig In
51000410,NPL:Dir Lab-Meetings Installer,NPL:Dir Lab-Mets Ins
51000420,NPL:Dir Lab-Safety Mts Instalr,"NPL:Dir Lab-Safety "
51000430,NPL:Dir Lab Vacation Installer,NPL:Dir Lab Vacation
51000440,NPL:Dir Lab PPD Installer,NPL:Dir Lab PPD Ins
51000450,NPL:Dir Lab Stat Hol Installer,NPL:Dir Lab Stat Hol
51000460,NPL:Dir Lab Banked OT Installr,NPL:Dir Lab Banke
51000470,NPL:Dir Lab Sick/Acdnt Instalr,NPL:Dir Lab Sick/Ac
51000480,NPL:Dir Lab Misc Installer,NPL:Dir Lab Misc In
51000490,NPL:Dir Lab LOA Installer,NPL:Dir Lab LOA Inst
51000500,BEN: Benefits Installer,BEN: Benefits Instal
51000503,BEN:D.C Pension Installer,BEN:D.C Pension Ins
51000504,BEN:D.B. Pension Installer,BEN:D.B. Pension Ins
51000505,BEN:Cda Pension Plan Installer,BEN:Cda Pension Plan
51000507,BEN:Employment Ins Installer,BEN:Employment Ins I
51000509,BEN:Health Insurance Installer,BEN:Health Insurance
51000511,BEN:WSIB Installer,BEN:WSIB Installer
51000513,BEN:Emp Savings Plan Installer,BEN:Emp Savings Plan
51000514,BEN:Emp EAP Installer,BEN:Emp EAP Installe
51000515,BEN:Emp Flex Benefits Installr,BEN:Emp Flex Benefit
51000516,BEN: Emp Future NonPen Instalr,BEN: Emp Future N
51000630,BEN:Short-term disability Prem,BEN:Short-term disab
51000640,BEN: ST disability Prem Instlr,"BEN: ST disability "
52000010,MAT:Supervised Lines & Service,MAT:Supervised Lines
52000015,MAT: Telecom & Data,MAT: Telecom & Data
52000020,"MAT: Sales, Tender & Install","MAT: Sales, Tender"
52000030,MAT: Vehicle Costs,MAT: Vehicle Costs
52000032,MAT: Dealer Royalties,MAT: Dealer Royaltie
52000034,MAT:Central Station Costs Dist,MAT:Central Station
52000040,MAT:Lost tank paid to Competit,MAT:Lost tank paid
52000100,MAT: Materials Finished Goods,MAT: Materials F G
52000101,MAT: COGS - Security,MAT: COGS - Security
52000105,MAT:Materials STS Parts,MAT:Mat STS Parts
52000110,MAT: Materials One Time Parts,MAT: Mat One Time Pt
52000120,MAT: Inventory Provision,MAT: Inventory Prov
52000125,MAT: Inv Provsn (ifs transtn),MAT: Inv Provsn
52000130,MAT: Redeployed Tank Repair,MAT: Redeployed T
52000140,MAT: Purchase Price Variance,MAT: Purch Price Var
52000145,MAT:Shipping Discounts,MAT:Shipping Discoun
52000150,MAT:Freight Charges,MAT:Freight Charges
52000155,MAT: Materials Consumables,MAT: Materials Cons
52000156,MAT: Consumables Clearing,MAT: Consumables Clg
52000160,MAT: Vendor Discount Earned,MAT: Vendor Dis Ead
52000170,MAT: Mat'l Costs Promo Items,MAT: Mat'l Costs Pr
52000180,MAT: Fastfrate delivery charge,MAT: Fastfrate del
52005120,INC:Direct Labour Incentives,INC:Direct Labour In
52005125,INC:Direct Lab Prospect Bonus,INC:Direct Lab Prosp
52005150,INC: Prospect Bonus,INC: Prospect Bonus
53000010,TP: Tankless Pre-inspection Ch,TP: Tanks Pre-ins Ch
53000015,TP:Water Softener Program,TP:Water Softener Pr
53000020,TP: Installation Expense,TP: Installation Exp
53000021,TP: Pre-Inspection Cost,TP: Pre-Inspec Cost
53000025,TP: Third Party Labour,TP: Third Party Labo
53000030,TP: Delivery,TP: Delivery
53000031,TP:Builder Delivery,TP:Builder Delivery
53000035,TP: Third Party Parts,TP: Third Party Part
53000036,TP: Property Mgmt Allowances,TP: Property Mgmt Al
53000045,TP:Third Party Labour- Builder,TP:Third Party Labou
53000050,TP: Extended Warranty,TP: Extended Warrant
53000052,TP: Warranty - Sp. Projects,TP: Warranty - Sp. P
53000053,TP:Warranty - Dip Tube,TP:Warranty - Dip Tu
53000054,TP:Warranty - Rheem,TP:Warranty - Rheem
53000055,TP:Warranty - GSW,TP:Warranty - GSW
53000060,TP:WH Repair Exp.,TP:WH Repair Exp.
53000061,TP: 3rd Party Labour-Security,TP: 3rd Party Labour
53000065,TP: Telemarketer Install Allow,TP: Telem Install Al
53000070,TP:Furnace Lien Costs,TP:Furnace Lien Cost
53000075,TP: Third Party Install Allow,TP: Third Party Inst
53000078,TP: Contractor Claw Back,TP: Contr Claw Back
53000080,TP: Customer Reimbursement,TP: Customer Reimb
53000085,TP: D2D Install Allowance,TP: D2D Install Allo
53000090,TP:Third Party Commissions,TP:Third Party Comm
53001000,MISC: Carbon Offset Cost,MISC: Carbn Ofst Cst
60000005,SW:Admin Salaries-Acq HVACs,SW:Admin Salares-Acq
60000010,SW:Management/Supervisory,SW:Management/Super
60000015,SW:Directors Fees/Remuneration,SW:Director Fees/Rem
60000016,SW:Unit Compensation,SW:Unit Compensation
60000030,SW:Clerical,SW:Clerical
60000040,SW:Hourly Wages,SW:Hourly Wages
60000050,SW:Sales,SW:Sales
60000060,SW:Overtime,SW:Overtime
60000070,SW:Premium,SW:Premium
60000080,SW:Commissions,SW:Commissions
60000090,SW:Casual Temporary,SW:Casual Temporary
60000100,SW:Salary Continuance,SW:Salary Contin
60000101,G&A:Gen/Admin Costs-Security,G&A:Gen/Admn Costs-S
60000105,SW:Labor & Benefits Transferrd,SW:Labor & Bnefit Tr
60000110,SW:Severance Costs,SW:Severance Costs
60000130,INC:Prospect Bonus,INC:Prospect Bonus
60000140,INC:Year End Bonus,INC:Year End Bonus
60000145,INC:Incentive Payments,INC:Incentive Paymen
60000150,INC:LTIP,INC:LTIP
60000155,INC:Incentives EVIP,INC:Incentives EVIP
60000160,INC:Lead Generation Incentives,INC:Lead Generation
60000170,INC: Gregg's YE Bonus,INC: Gregg's YE Bonu
60000415,BEN:Future NonPension Expense,BEN:Future NonPensin
60000420,BEN:Defined Contribution Pensn,BEN:Defined Contribu
60000421,BEN:Defined Benefit Pension,BEN:Defined Beneit P
60000425,BEN:D.C. Pension - Sales,BEN:D.C. Pen -Sales
60000450,BEN:Benefits SGA-Acq HVACs,BEN:Benefits SGA-Acq
60000500,BEN:Canada Pension Plan,BEN:Canada Pensin Pl
60000505,BEN:Cda Pension Plan - Sales,BEN:Cda Pen Plan - S
60000510,BEN:Employment Insurance,BEN:Employment Ins
60000515,BEN: Employment Ins.- Sales,BEN: Empl Ins.- Sale
60000520,BEN: Employer Health Tax,BEN: Empl Health Tax
60000525,BEN: Employer Health Tax-Sales,BEN: Emplr Health Tx
60000527,BEN:EHT (BC Only),BEN:EHT (BC Only)
60000530,BEN:WSIB,BEN:WSIB
60000535,BEN: WSIB - Sales,BEN: WSIB - Sales
60000600,BEN:Life Insurance and AD&D,BEN:Life Insurance
60000610,BEN:Major Medical,BEN:Major Medical
60000620,BEN:Long Term Disability,BEN:Long Term Disab
60000630,BEN:STD Premiums,BEN:STD Premiums
60000640,BEN:Sick Pay,BEN:Sick Pay
60000670,BEN: Employee Saving/Unit PP,BEN: Employee Saving
60000675,BEN:Empl. Saving/Unit PP-Sales,BEN:Empl. Saving/U
60000680,BEN:Employee Assistance Plan,BEN:Employee Assist
60000690,BEN:Company Medical,BEN:Company Medical
60000700,BEN:Flexible Benefits,BEN:Flexible Benefit
60000705,BEN:Flexible Benefits - Sales,BEN:Flex Ben - Sales
60000710,BEN:Excess Flex Credits,BEN:Excess Flex Cr
60000800,NPL:NPL Training,NPL:NPL Training
60000810,NPL:NPL Company Meetings,NPL:NPL Company Me
60000820,NPL:NPL Safety Meetings,NPL:NPL Safety Me
60000830,NPL:NPL Vacation,NPL:NPL Vacation
60000840,NPL:NPL Paid Personal Days,NPL:NPL Paid Person
60000850,NPL:NPL Statutory Holidays,NPL:NPL Statutory H
60000860,NPL:NPL Banked Overtime,NPL:NPL Banked Overt
60000870,NPL:NPL Sickness/Accidents,NPL:NPL Sickness/Ac
60000880,NPL:NPL Miscellaneous,NPL:NPL Miscellaneou
60000890,NPL:NPL Leave of Absence - Uni,NPL:NPL Leave of Ab
74100000,DEP: AFDA,DEP: AFDA
62000010,EMP:Meals and Entertainment,EMP:Meals and Entert
62000011,EMP:Meals&Enter.-Employee Exps,EMP:Meals&Enter.-Emp
62000020,EMP:Accommodations,EMP:Accommodations
62000030,EMP:Airfare,EMP:Airfare
62000040,EMP:Transportation,EMP:Transportation
62000050,EMP:Car Rental Expense,EMP:Car Rental Expen
62000060,EMP:Mileage Only,EMP:Mileage Only
62000062,EMP: Mileage over 5000 KM,EMP: Mileage over
62000070,EMP:Moving/Relocation Expenses,EMP:Moving/Relocat
62000075,EMP:Employee Licenses,EMP:Employee Licens
62000080,EMP:Boots and Safety Glasses,EMP:Boots and Safety
62000090,EMP:Uniforms,EMP:Uniforms
62000095,EMP: Cellphone Allowance,EMP: Cellphone Allow
62000100,TRN:Training and Conferences,TRN:Training and Con
62000110,TRN:Education,TRN:Education
62000120,TRN:Association/Membership Due,TRN:Association/Memb
62000130,TRN:Health and Safety,TRN:Health and Safet
62000140,TRN:Training Materials,TRN:Training Materia
62000200,COMP:Materials and Supplies,COMP:Materials
62000210,IT: Computer Software,IT: Computer Softwar
62000220,IT: Computer Hardware,IT: Computer Hardwar
62000230,IT:Offsite Storage,IT:Offsite Storage
62000235,IT:Offsite Processing,IT:Offsite Processin
62000240,IT:Hardware Maintenance,IT:Hardware Mainten
62000250,IT:Operating System Maint,"IT:Operating System "
62000254,IT:Infrastructure Cost-IT Only,IT:Infr Cost-IT Only
62000255,IT:Infrastruture Costs,IT:Infrastruture Cos
62000256,IT:Compugen ex-Contract,IT:Compugen ex-Contr
62000260,IT:Software Maintenance,IT:Software Maintena
62000261,IT:Sol Software Maintenance,IT:Sol Software Main
62000262,IT:Sol Maintenance ex-Contract,IT:Sol Maintenance
62000264,IT: Computer Leases - IT Only,IT: Computer Leases
62000265,IT: Infrastructure Leases,IT: Infr Leases
62000400,SCRAP:Equipment,SCRAP:Equipment
62000420,SCRAP:General Material,SCRAP:General Materi
62000500,TRAN:Fuel,TRAN:Fuel
62000501,TRAN: Fuel Acquisitions,TRAN: Fuel Acquisit
62000510,TRAN:Repairs & Maintenance,TRAN:Repairs & Maint
62000525,TRAN:Insurance/License/Permits,TRAN:Insurance/Licen
62000530,TRAN:Lease Costs,TRAN:Lease Costs
62000550,TRAN:Other,TRAN:Other
62000600,OUT:Consulting Fees,OUT:Consulting Fees
62000601,OUT:Resources Proj Edison,OUT:Res Proj Edison
62000612,OUT:  Training,OUT:  Training
62000632,OUT: Performance Bonus,OUT: Performance Bon
62000637,OUT: Inbound Call Chargeback,OUT: Inbound Cal CB
62000638,OUT:  Inbound calling,OUT:  Inbound callng
62000639,OUT: Call Handling,OUT: Call Handling
62000642,OUT: Data Entry,OUT: Data Entry
62000651,OUT:Banner Securitization DB,OUT:Banner Secu DB
62000652,OUT: Banner Development & Supp,OUT: Banner Dev & Su
62000653,OUT: Banner Rpt/Test Database,OUT: Banner Rpt/Test
62000654,OUT: Banner Hosting Services,OUT: Banner Hosting
62000655,OUT:Bill Fufillment,OUT:Bill Fufillment
62000656,OUT:Remittance Processing,OUT:Remittance Proc
62000657,OUT:  Outbound calling,OUT:  Outbound callg
62000665,OUT:Payroll Administration.,OUT:Payroll Administ
62000667,OUT:Administration Charges,OUT:Administration C
62000668,OUT:Service Contractors,OUT:Service Contract
62000669,OUT: External Commissions,OUT: External Comm
62000675,OUT:External Audit,OUT:External Audit
62000676,OUT: Internal Audit,OUT: Internal Audit
62000685,OUT:Collection Fees,OUT:Collection Fees
62000690,OUT:Credit Checks,OUT:Credit Checks
62000700,OUT:Recruitment/Agency,OUT:Recruitment/Agen
62000710,OUT:Registrar and Transfer Age,OUT:Registrar and Tr
62000716,OUT: Board of Director Expense,OUT: Brd of Dir Exp
62000720,OUT:  Misc Financial Fees,OUT:  Misc Finl Fees
62000725,OUT:  Customer Care,OUT:  Customer Care
62000726,OUT:Enbrg/OH Collection Fee,OUT:Enbrg/OH Coln Fe
62000728,SaskEnergy Collection Fee,SaskEnergy Coln Fee
62000730,BANK:Bank Service Chgs & Other,BANK:Bank Service C
62000757,OUT: Outbound dialing chargebk,OUT: Outbound daling
62000800,INS:Insurance Expenses,INS:Insurance Expen
62007800,OTH:Accolade Acq. Costs,OTH:Accolade Acq. Co
62008050,INS: Self Insurance Deductible,INS: Self Insurance
62009000,MISC:Deductible Donations,MISC:Deductible Don
62009100,MISC:Non-Deductible Donations,MISC:Non-Deductib
62010602,OUT: Legal Settlement Expense,OUT: Legal Sett Exp
62010603,OUT: Legal Goodwill Payment,OUT: Legal GW Pay
62010604,OUT: Legal Union Grievances,OUT: Legal Union Gri
62010610,OUT:Legal Expenses,OUT:Legal Expenses
62020300,COMM:Fax Services,COMM:Fax Services
62020301,COMM: Communication Acqds,COMM: Communic Acqds
62020302,COMM:Internet Services,COMM:Internet Servic
62020304,COMM:Consulting Services,COMM:Consulting Serv
62020305,COMM:Management Fees,COMM:Management Fees
62020310,COMM:Cellular Service,COMM:Cellular Servic
62020311,COMM:Cellular Service-Emp. Exp,COMM:Cellular Serv
62020312,COMM:Pager Service,COMM:Pager Service
62020320,COMM:IBL Charges,COMM:IBL Charges
62020322,COMM:Long Distance Charges,COMM:Long Distance C
62020340,COMM:Teleconferencing,COMM:Teleconferencig
62020342,COMM:Toll Free Usage,COMM:Toll Free Usage
62020350,COMM:Equipment Costs,COMM:Equipment Costs
62020352,COMM: Leases,COMM: Leases
62020354,COMM:MAC's,COMM:MAC's
62020356,COMM:Cabling,COMM:Cabling
62020357,COMM:Software Purchases,COMM:Software Purch
62020358,COMM:Hardware Purchases,COMM:Hardware Purcha
62020359,COMM:Remote Access,COMM:Remote Access
62020360,COMM:Hardware Maintenance,COMM:Hardware Maint
62020365,COMM:Software Maintenance,COMM:Software Maint
62020367,COMM: Repairs,COMM: Repairs
62020368,COMM:Voice Circuits,COMM:Voice Circuits
62020370,COMM: Data Circuits,COMM: Data Circuits
62020375,COMM:Comm Exp-Acq HVACs,COMM:Comm Exp-Acq HV
63000050,A&P:New Acquisition,A&P:New Acquisition
63000100,A&P: B2B Advertising,A&P: B2B Advertising
63000110,OFF:Printing,OFF:Printing
63000200,A&P: TV,A&P: TV
63000300,A&P: Radio,A&P: Radio
63000340,A&P:Photo Library,A&P:Photo Library
63000400,A&P: Subcontractor incentives,A&P: Subcontractor
63000500,A&P: Direct Mail/FSI,A&P: Direct Mail/FSI
63000550,A&P: Email,A&P: Email
63000600,A&P: Newspaper/Magazine,A&P: Newspaper/Magaz
63000700,A&P:Direct Mktng-Tech leave bd,A&P:Direct Mktng-Tec
63000750,A&P: Digital,A&P: Digital
63000800,A&P Outside Service,A&P Outside Service
63000850,A&P: Workperks,A&P: Workperks
63000900,A&P: Local Marketing,A&P: Local Marketing
63001000,A&P: Search,A&P: Search
63001100,A&P: Yellow Pages,A&P: Yellow Pages
63001200,A&P:Digital Production,A&P:Digital Prod
63001300,A&P: Tech incentives,A&P: Tech incentives
63001350,A&P: Tech incentives - other,A&P: Tech inc - oth
63001400,A&P: Out of Home Advertising,A&P: Out of Home Adv
63001450,A&P:Customer Experience Survey,A&P:Customer Experie
63001470,"A&P:SEO,Analytics,Reporting","A&P:SEO,Analytics,Re"
63001550,A&P:Social&Reputation Mgmt,A&P:Social&Rep Mgmt
63001600,A&P:Miscellaneous,A&P:Miscellaneous
63002000,A&P: Home Shows/Events,A&P: Home Shows/Even
63002010,A&P:Home Shows/Events-Collater,A&P:Home Shows/Event
63002020,A&P: CP24,A&P: CP24
63002510,"A&P:Website Dev,Maint&Hosting","A&P:Website Dev,Main"
63002520,A&P: Uniforms & Briefcases,A&P: Uniforms & Bri
63002530,A&P: Support materials,A&P: Support materi
63002540,A&P: WH Stickers,A&P: WH Stickers
63002550,A&P:Email Production/Dev,A&P:Email Prod/Dev
63002570,A&P: Sponsorships,A&P: Sponsorships
63002580,A&P: Public Relations,A&P: Public Relation
63002590,A&P: Support software,A&P: Support softwar
63002600,A&P: Analytics,A&P: Analytics
63002610,A&P: Research,A&P: Research
63002630,A&P: Consulting,A&P: Consulting
63002640,A&P: Builder Mrktng Initiative,A&P: Builder Mrktng
63002650,A&P:Conversion Optimiz Tactics,A&P:Conversion Optim
63002660,A&P: Customer Retention,A&P: Customer Retent
63002670,A&P:Reactive Tactics,A&P:Reactive Tactics
63002680,A&P: RISA-Customer Retention,A&P: RISA-Customer
63002690,A&P:PAP/CPP Sign Up Incentives,A&P:PAP/CPP Sign Up
63002700,A&P:Brand Awareness,A&P:Brand Awareness
63002710,A&P:Life Cycle Mgmt,A&P:Life Cycle Mgmt
63002720,A&P:Growth Initiatives,A&P:Growth Initiat
63002990,A&P: CO-OP Recovery,A&P: CO-OP Recovery
63003050,FIN:Vendor Interest Charges,FIN:Vendor Interest
63003100,FIN:Bad Debt Prov-Rent&Finance,FIN:Bad Debt Prov-R
63003250,FIN:Bad Debt Provision,FIN:Bad Debt Provis
63004100,WARR:Equipment-WH Recovery,WARR:Equipmnt-WH Rec
63004200,WARR:Parts,WARR:Parts
63004300,WARR:Parts&Labour Recovery,WARR:Parts&Labour R
63004500,WARR:Gen Material Recovry WH,WARR:Gen Material Re
63006310,OUT:Performance Bonus-Razorpts,OUT:Performance Bon
64000115,Printing - Contract Forms,Printing - Cot Forms
64000120,OFF:Office Supplies,OFF:Office Supplies
64000130,OFF:Postage,OFF:Postage
64000140,OFF:Courier/Delivery,OFF:Courier/Delivery
64000150,OFF:Rental Office Equipment,OFF:Rental Office Eq
64000165,GEN:Off Equip Repair & Maint.,GEN:Off Equip Repair
64000170,OFF:Subscriptions,OFF:Subscriptions
64000175,GEN:Gen Office-Acq HVACs,GEN:Gen Office-Acq H
64000180,MISC:Permits/Certificates,MISC:Permits/Certif
64000250,GEN:Building Maintenance,GEN:Building Maint
64000290,MISC:Small Tools Repairs&Maint,MISC:Small Tools
64000300,MISC:Other miscellaneous,MISC:Other miscel
64000304,MISC:PST Commision-Regina,MISC:PST Commision-R
64000310,MISC: Customer Adjustment Acct,MISC: Customer Adjus
64000311,MISC: Management Fees,MISC: Management Fes
64000312,MISC: No Frustration Guarantee,MISC: No Frustration
64000313,MISC: Next Day Install Guarant,MISC: Next Day Inst
64000314,MISC: OPA Rebate Guarantee,MISC: OPA Rebate Gu
